district,market1,market2,market3,market4,market5,market6,market7,market8,market9,market10
Bagalkot,Badami,Bagalakot,Bagalkot(Bigali),Bagalkot(Bilagi),Hungund,Jamakhandi,Mhalingapur,,,
Bangalore,Bangalore,"Binny Mill (F&V), Bangalore",Channapatana,Doddaballa Pur,Hoskote,Kanakapura,Ramanagara,,,
Belgaum,Athani,Bailahongal,Belgaum,Gokak,Kudchi,Nandagada,Nippani,Ramdurga,Sankeshwar,Soundati
Bellary,Bellary,H.B. Halli,Hoovinahadagali,Hospet,Hospet(Kampli),Kottur,Sandur,Sirguppa,,
Bidar,Aurad,Basava Kalayana,Bhalki,Bidar,Humanabad,,,,,
Bijapur,Bijapur,Sindagi,Sindagi(chadachan),Sindagi(Devarayipparagi),Sindagi(Indi),Talikot,,,,
Chamrajnagar,Chamaraj Nagar,Gundlupet,Kollegal,,,,,,,
Chikmagalur,Bagepalli,Chikkamagalore,Kadur,Koppa,Moodigere,Sringeri,Tarikere,,,
Chitradurga,Challakere,Chitradurga,Hiriyur,Holalkere,Hosadurga,Rampura,,,,
Davangere,Channagiri,Davangere,Harappana Halli,Harihara,Honnali,Jagalur,,,,
Dharwad,Annigeri,Dharwar,Hubli (Amaragol),Kalagategi,Kundagol,,,,,
Gadag,Gadag,Laxmeshwar,Mundaragi,Nargunda,Rona,,,,,
Hassan,Arakalgud,Arasikere,Belur,Channarayapatna,Hassan,Holenarsipura,Sakaleshpura,,,
Haveri,Byadagi,Hanagal,Haveri,Hirekerur,Ranebennur,Savanur,Shiggauv,,,
Kalburgi,Alanda,Chincholi,Chittapur,Kalburgi,Kalburgi  (Jevargi),Kalburgi (Afzalpur),Sedam,,,
Karwar(Uttar Kannad),Haliyala,Honnavar,Karwar,Kumta,Mundgod,Siddapur,Sirsi,Yellapur,,
Kolar,Bangarpet,Bhagepalli,Chickkaballapura,Chintamani,Gowribidanoor,Kolar,Malur,Mulabagilu,Srinivasapur,
Koppal,Gangavathi,Gangavathi(Karatagi),Gangavathi(Karatagi),Koppal,Kustagi,Yalburga,,,,
Madikeri(Kodagu),Gonikappal,Madikeri,Somvarpet,,,,,,,
Mandya,K.R. Pet,Maddur,Malavalli,Mandya,Nagamangala,Pandavapura,Srirangapattana,,,
Mangalore(Dakshin Kannad),Bantwala,Belthangdi,Mangalore,Puttur,Sulya,,,,,
Mysore,Hunsur,K.R.Nagar,Mysore (Bandipalya),Nanjangud,Piriya Pattana,Santhesargur,T. Narasipura,,,
Raichur,Devadurga,Lingasugur,Manvi,Raichur,Sindhanur,,,,,
Ramanagar,Ramanagar,,,,,,,,,
Shimoga,Bhadravathi,Hosanagar,Sagar,Sagar(Hosanagara),Shikaripura,Shimoga,Shimoga(Theertahalli),Shimogga(Theertahalli),Sorabha,
Tumkur,Gubbi,Huliyar,Koratagere,Kunigal,Madhugiri,Pavagada,Sira,Tiptur,Tumkur,Turvekere
Udupi,Karkala,Kundapura,Udupi,,,,,,,
Yadgiri,Shahapur,Shorapur,Yadgir,,,,,,,
